Year,Name,Group,BlB,BlE,BleOC,BlMa,NBE,NBlB,NBlM,NBlOC,PBB,PBE,PBlOC,PBM,Black_corals,Soft_corals,Sponge,Algae,CCA,Turf,Sand,RockRub,,Total_coral,Other_inv,Total_algae,Bare_sub,,Bleached_coral,Partly_bleached_coral,Non_bleached_coral
2010,PA263371.JPG,23,0,0,7.52688172,0,1.075268817,22.58064516,0,0,0,17.20430108,0,0,0,0,3.225806452,1.075268817,27.95698925,19.35483871,0,0,,48.38709677,3.225806452,48.38709677,0,,7.52688172,17.20430108,23.65591398
2010,PA263372.JPG,24,0,0,46.15384615,0,0,3.296703297,0,0,0,8.791208791,0,0,0,0,0,3.296703297,15.38461538,23.07692308,0,0,,58.24175824,0,41.75824176,0,,46.15384615,8.791208791,3.296703297
2010,PA263374.JPG,25,0,5.208333333,16.66666667,0,0,0,5.208333333,0,2.083333333,0,0,20.83333333,0,0,2.083333333,0,29.16666667,18.75,0,0,,50,2.083333333,47.91666667,0,,21.875,22.91666667,5.208333333
2010,PA263375.JPG,26,0,0,14,0,5,2,0,4,0,3,0,0,0,0,1,3,56,12,0,0,,28,1,71,0,,14,3,11
2010,PA263376.JPG,27,0,0,0,0,0,15.05376344,0,0,32.25806452,6.451612903,0,0,0,0,2.150537634,5.376344086,23.65591398,15.05376344,0,0,,53.76344086,2.150537634,44.08602151,0,,0,38.70967742,15.05376344
2010,PA263378.JPG,28,0,0,8.888888889,0,0,0,0,0,0,0,2.222222222,14.44444444,0,0,7.777777778,1.111111111,51.11111111,14.44444444,0,0,,25.55555556,7.777777778,66.66666667,0,,8.888888889,16.66666667,0
2010,PA263379.JPG,29,0,1.315789474,9.210526316,0,0,9.210526316,15.78947368,0,0,0,0,0,0,0,0,1.315789474,39.47368421,23.68421053,0,0,,35.52631579,0,64.47368421,0,,10.52631579,0,25
2010,PA263380.JPG,30,0,0,7.954545455,0,0,9.090909091,26.13636364,0,0,0,0,0,0,0,2.272727273,0,35.22727273,19.31818182,0,0,,43.18181818,2.272727273,54.54545455,0,,7.954545455,0,35.22727273
2010,PA263381.JPG,31,0,2.298850575,5.747126437,0,0,17.24137931,11.49425287,1.149425287,0,1.149425287,3.448275862,0,0,0,0,6.896551724,43.67816092,6.896551724,0,0,,42.52873563,0,57.47126437,0,,8.045977011,4.597701149,29.88505747
2015,DSC00126.JPG,1,0,0,10.20408163,0,6.12244898,2.040816327,3.06122449,0,0,1.020408163,0,0,0,4.081632653,0,3.06122449,40.81632653,29.59183673,0,0,,22.44897959,4.081632653,73.46938776,0,,10.20408163,1.020408163,11.2244898
2015,DSC00127.JPG,2,0,0,15.15151515,0,1.01010101,4.04040404,0,3.03030303,0,0,1.01010101,0,0,2.02020202,9.090909091,3.03030303,32.32323232,29.29292929,0,0,,24.24242424,11.11111111,64.64646465,0,,15.15151515,1.01010101,8.080808081
2015,DSC00128.JPG,3,0,0,16.49484536,0,3.092783505,4.12371134,0,5.154639175,0,2.06185567,3.092783505,0,0,0,5.154639175,1.030927835,29.89690722,29.89690722,0,0,,34.02061856,5.154639175,60.82474227,0,,16.49484536,5.154639175,12.37113402
2015,DSC00131.JPG,4,0,0,0,0,1.01010101,10.1010101,0,0,0,0,0,0,0,0,1.01010101,0,2.02020202,70.70707071,15.15151515,0,,11.11111111,1.01010101,72.72727273,15.15151515,,0,0,11.11111111
2015,DSC00133.JPG,5,0,0,2.127659574,0,0,1.063829787,4.255319149,0,0,20.21276596,0,3.191489362,9.574468085,0,1.063829787,2.127659574,10.63829787,27.65957447,18.08510638,0,,30.85106383,10.63829787,40.42553191,18.08510638,,2.127659574,23.40425532,5.319148936
2015,DSC00134.JPG,6,0,0,5.319148936,0,1.063829787,5.319148936,1.063829787,0,0,22.34042553,0,0,3.191489362,1.063829787,0,3.191489362,4.255319149,24.46808511,28.72340426,0,,35.10638298,4.255319149,31.91489362,28.72340426,,5.319148936,22.34042553,7.446808511
2015,DSC00135.JPG,7,0,0,2.02020202,0,3.03030303,6.060606061,3.03030303,0,0,20.2020202,2.02020202,0,0,0,0,4.04040404,9.090909091,25.25252525,25.25252525,0,,36.36363636,0,38.38383838,25.25252525,,2.02020202,22.22222222,12.12121212
2015,DSC00136.JPG,8,0,0,4.12371134,0,1.030927835,3.092783505,2.06185567,1.030927835,0,17.5257732,0,0,0,0,0,1.030927835,9.278350515,28.86597938,31.95876289,0,,28.86597938,0,39.17525773,31.95876289,,4.12371134,17.5257732,7.216494845
2015,DSC00137.JPG,9,0,0,0,0,0,6.818181818,1.136363636,0,0,15.90909091,0,0,1.136363636,1.136363636,0,0,17.04545455,26.13636364,30.68181818,0,,23.86363636,2.272727273,43.18181818,30.68181818,,0,15.90909091,7.954545455
2015,DSC00138.JPG,10,0,2.564102564,1.282051282,0,0,16.66666667,1.282051282,0,0,0,5.128205128,0,0,0,1.282051282,1.282051282,26.92307692,20.51282051,23.07692308,0,,26.92307692,1.282051282,48.71794872,23.07692308,,3.846153846,5.128205128,17.94871795
